nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,AUC,seed,level
100,8,0.001,0,0.8,1,0.5,0.6426807521807522,10,order
100,8,0.001,0,0.8,1,0.6,0.6425369184515526,10,order
100,8,0.001,0,0.8,1,0.7,0.6390460713326567,10,order
100,8,0.01,0,0.8,1,0.4,0.6474828277755107,10,order
100,8,0.01,0,0.8,1,0.5,0.6454280421536519,10,order
100,8,0.01,0,0.8,1,0.6,0.6473660315367632,10,order
100,8,0.01,0,0.8,1,0.7,0.6420090255760987,10,order
100,8,0.1,0,0.8,1,0.4,0.634624361295093,10,order
100,8,0.1,0,0.8,1,0.5,0.6355139904713075,10,order
100,8,0.1,0,0.8,1,0.6,0.6363845247686711,10,order
100,8,0.1,0,0.8,1,0.7,0.6380906795297039,10,order
100,8,1,0,0.8,1,0.4,0.5917537855800051,10,order
100,8,1,0,0.8,1,0.5,0.5909568802251729,10,order
100,8,1,0,0.8,1,0.6,0.6022305824988752,10,order
100,8,1,0,0.8,1,0.7,0.6028658597622012,10,order
100,16,0.001,0,0.8,1,0.4,0.6422822835902104,10,order
100,16,0.001,0,0.8,1,0.5,0.6439792327170376,10,order
100,16,0.001,0,0.8,1,0.6,0.641557209648673,10,order
100,16,0.001,0,0.8,1,0.7,0.6385240044051019,10,order
100,16,0.01,0,0.8,1,0.4,0.6450504851541436,10,order
100,16,0.01,0,0.8,1,0.5,0.6456383578700652,10,order
100,16,0.01,0,0.8,1,0.6,0.6443473996644729,10,order
100,16,0.01,0,0.8,1,0.7,0.6399622113402601,10,order
100,16,0.1,0,0.8,1,0.4,0.6337385085433866,10,order
100,16,0.1,0,0.8,1,0.5,0.6373249913676743,10,order
100,16,0.1,0,0.8,1,0.6,0.6376559808937858,10,order
100,16,0.1,0,0.8,1,0.7,0.6366578895969139,10,order
100,16,1,0,0.8,1,0.4,0.5834397965038209,10,order
100,16,1,0,0.8,1,0.5,0.5926786228737448,10,order
100,16,1,0,0.8,1,0.6,0.6001950478352918,10,order
100,16,1,0,0.8,1,0.7,0.6026991381625528,10,order
100,30,0.001,0,0.8,1,0.4,0.6443731649768235,10,order
100,30,0.001,0,0.8,1,0.5,0.6437320465064368,10,order
100,30,0.001,0,0.8,1,0.6,0.6420817969537482,10,order
100,30,0.001,0,0.8,1,0.7,0.6379741483643923,10,order
100,30,0.01,0,0.8,1,0.4,0.646208216055777,10,order
100,30,0.01,0,0.8,1,0.5,0.6463958723531894,10,order
100,30,0.01,0,0.8,1,0.6,0.6454192589802346,10,order
100,30,0.01,0,0.8,1,0.7,0.6426769025122684,10,order
100,30,0.1,0,0.8,1,0.4,0.6339095053241395,10,order
100,30,0.1,0,0.8,1,0.5,0.6367328643974985,10,order
100,30,0.1,0,0.8,1,0.6,0.6360227535898267,10,order
100,30,0.1,0,0.8,1,0.7,0.6359091452079257,10,order
